Data;Godzina;RCE
20230312;15;344,74
20230312;16;411,10
20230312;17;539,15
20230312;18;614,33
20230312;19;635,87
20230312;20;639,88
20230312;21;608,51
20230312;22;568,64
20230312;23;596,51
20230312;24;565,93
20230313;1;483,84
20230313;2;454,95
20230313;3;440,25
20230313;4;432,68
20230313;5;456,41
20230313;6;516,45
20230313;7;597,09
20230313;8;608,02
20230313;9;623,87
20230313;10;591,74
20230313;11;536,70
20230313;12;528,93
20230313;13;512,84
20230313;14;516,61
20230313;15;515,71
20230313;16;519,79
20230313;17;535,67
20230313;18;591,95
20230313;19;594,74
20230313;20;596,37
20230313;21;583,30
20230313;22;516,50
20230313;23;520,61
20230313;24;451,35
20230314;1;363,62
20230314;2;349,88
20230314;3;349,76
20230314;4;363,34
20230314;5;389,98
20230314;6;449,55
20230314;7;538,09
20230314;8;530,12
20230314;9;518,34
20230314;10;467,39
20230314;11;420,18
20230314;12;405,88
20230314;13;400,02
20230314;14;417,44
20230314;15;443,96
20230314;16;495,22
20230314;17;551,52
20230314;18;585,05
20230314;19;595,76
20230314;20;622,11
20230314;21;586,86
20230314;22;521,36
20230314;23;519,05
20230314;24;473,10
20230315;1;481,76
20230315;2;467,49
20230315;3;470,56
20230315;4;460,84
20230315;5;479,92
20230315;6;543,54
20230315;7;609,28
20230315;8;651,68
20230315;9;660,28
20230315;10;568,34
20230315;11;523,59
20230315;12;500,68
20230315;13;481,42
20230315;14;498,63
20230315;15;514,01
20230315;16;533,62
20230315;17;604,80
20230315;18;709,14
20230315;19;803,86
20230315;20;821,49
20230315;21;738,48
20230315;22;676,00
20230315;23;634,74
20230315;24;586,39
20230316;1;554,12
20230316;2;552,00
20230316;3;548,24
20230316;4;548,25
20230316;5;550,00
20230316;6;558,03
20230316;7;618,34
20230316;8;670,77
20230316;9;656,66
20230316;10;557,70
20230316;11;506,69
20230316;12;471,79
20230316;13;476,34
20230316;14;506,21
20230316;15;528,59
20230316;16;554,74
20230316;17;646,07
20230316;18;771,22
20230316;19;813,62
20230316;20;810,28
20230316;21;790,99
20230316;22;681,32
20230316;23;618,32
20230316;24;551,52
20230317;1;520,46
20230317;2;531,89
20230317;3;523,24
20230317;4;515,80
20230317;5;519,94
20230317;6;522,72
20230317;7;542,26
20230317;8;547,31
20230317;9;520,16
20230317;10;457,49
20230317;11;410,95
20230317;12;388,91
20230317;13;374,14
20230317;14;370,86
20230317;15;406,66
20230317;16;455,69
20230317;17;522,83
20230317;18;579,77
20230317;19;604,63
20230317;20;602,01
20230317;21;562,17
20230317;22;519,02
20230317;23;516,32
20230317;24;495,02
20230318;1;468,57
20230318;2;443,04
20230318;3;439,78
20230318;4;434,92
20230318;5;437,85
20230318;6;452,02
20230318;7;459,11
20230318;8;470,06
20230318;9;450,24
20230318;10;440,39
20230318;11;399,01
20230318;12;394,28
20230318;13;397,40
20230318;14;434,53
20230318;15;460,83
20230318;16;521,17
20230318;17;541,95
20230318;18;603,66
20230318;19;652,43
20230318;20;648,98
20230318;21;614,92
20230318;22;576,45
20230318;23;564,35
20230318;24;534,47
20230319;1;514,25
20230319;2;506,42
20230319;3;507,48
20230319;4;507,45
20230319;5;507,17
20230319;6;506,84
20230319;7;508,18
20230319;8;504,78
20230319;9;464,37
20230319;10;460,07
20230319;11;441,48
20230319;12;426,71
20230319;13;421,17
20230319;14;426,77
20230319;15;453,79
20230319;16;508,36
20230319;17;533,11
20230319;18;621,53
20230319;19;696,55
20230319;20;733,52
20230319;21;687,40
20230319;22;629,69
20230319;23;602,68
20230319;24;534,07
20230320;1;547,80
20230320;2;516,33
20230320;3;512,49
20230320;4;513,95
20230320;5;520,94
20230320;6;581,57
20230320;7;706,43
20230320;8;761,58
20230320;9;747,59
20230320;10;671,17
20230320;11;602,88
20230320;12;569,89
20230320;13;538,74
20230320;14;546,18
20230320;15;563,56
20230320;16;582,42
20230320;17;637,82
20230320;18;770,53
20230320;19;773,29
20230320;20;794,25
20230320;21;762,51
20230320;22;685,14
20230320;23;631,73
20230320;24;595,70
20230321;1;549,29
20230321;2;520,25
20230321;3;518,20
20230321;4;510,53
20230321;5;525,87
20230321;6;572,68
20230321;7;686,90
20230321;8;740,77
20230321;9;746,05
20230321;10;681,07
20230321;11;605,20
20230321;12;598,50
20230321;13;602,93
20230321;14;605,02
20230321;15;605,02
20230321;16;631,37
20230321;17;716,82
20230321;18;784,64
20230321;19;813,64
20230321;20;812,02
20230321;21;783,60
20230321;22;669,71
20230321;23;572,52
20230321;24;522,38
20230322;1;528,62
20230322;2;520,13
20230322;3;516,49
20230322;4;519,66
20230322;5;523,67
20230322;6;519,32
20230322;7;566,98
20230322;8;564,67
20230322;9;564,81
20230322;10;521,82
20230322;11;518,77
20230322;12;513,89
20230322;13;513,55
20230322;14;518,03
20230322;15;521,29
20230322;16;567,89
20230322;17;582,16
20230322;18;662,40
20230322;19;687,40
20230322;20;656,33
20230322;21;616,53
20230322;22;558,35
20230322;23;521,04
20230322;24;516,56
20230323;1;475,47
20230323;2;470,36
20230323;3;469,58
20230323;4;470,86
20230323;5;501,28
20230323;6;520,59
20230323;7;541,14
20230323;8;526,46
20230323;9;516,40
20230323;10;495,66
20230323;11;454,65
20230323;12;452,71
20230323;13;452,49
20230323;14;452,53
20230323;15;463,21
20230323;16;513,65
20230323;17;537,28
20230323;18;581,66
20230323;19;625,90
20230323;20;646,21
20230323;21;597,23
20230323;22;563,90
20230323;23;524,07
20230323;24;523,21
20230324;1;522,01
20230324;2;501,54
20230324;3;499,91
20230324;4;490,60
20230324;5;521,21
20230324;6;506,59
20230324;7;528,39
20230324;8;526,22
20230324;9;508,83
20230324;10;498,96
20230324;11;474,95
20230324;12;449,13
20230324;13;449,16
20230324;14;459,13
20230324;15;462,93
20230324;16;483,06
20230324;17;519,97
20230324;18;528,64
20230324;19;556,98
20230324;20;572,74
20230324;21;545,79
20230324;22;512,19
20230324;23;523,50
20230324;24;507,71
20230325;1;501,29
20230325;2;480,47
20230325;3;482,59
20230325;4;480,63
20230325;5;510,12
20230325;6;487,53
20230325;7;493,44
20230325;8;488,90
20230325;9;490,32
20230325;10;509,74
20230325;11;510,33
20230325;12;492,63
20230325;13;497,92
20230325;14;493,50
20230325;15;477,05
20230325;16;478,65
20230325;17;518,36
20230325;18;531,47
20230325;19;546,16
20230325;20;565,89
20230325;21;548,97
20230325;22;533,33
20230325;23;510,21
20230325;24;423,15
20230326;1;358,71
20230326;3;301,95
20230326;4;286,27
20230326;5;291,57
20230326;6;289,17
20230326;7;294,12
20230326;8;308,38
20230326;9;266,84
20230326;10;283,36
20230326;11;226,57
20230326;12;228,61
20230326;13;151,46
20230326;14;142,46
20230326;15;147,38
20230326;16;158,05
20230326;17;272,16
20230326;18;440,51
20230326;19;514,54
20230326;20;557,89
20230326;21;553,91
20230326;22;526,55
20230326;23;495,09
20230326;24;477,42
20230327;1;512,19
20230327;2;508,59
20230327;3;500,83
20230327;4;497,26
20230327;5;498,95
20230327;6;509,61
20230327;7;560,79
20230327;8;630,50
20230327;9;607,24
20230327;10;566,40
20230327;11;523,60
20230327;12;513,51
20230327;13;511,76
20230327;14;508,08
20230327;15;508,10
20230327;16;506,48
20230327;17;507,65
20230327;18;513,82
20230327;19;549,07
20230327;20;621,13
20230327;21;647,48
20230327;22;558,42
20230327;23;532,91
20230327;24;510,81
20230328;1;516,78
20230328;2;513,78
20230328;3;510,70
20230328;4;499,16
20230328;5;499,31
20230328;6;513,70
20230328;7;561,89
20230328;8;545,97
20230328;9;524,47
20230328;10;511,33
20230328;11;442,03
20230328;12;402,06
20230328;13;376,41
20230328;14;377,30
20230328;15;371,68
20230328;16;406,61
20230328;17;459,52
20230328;18;515,27
20230328;19;614,26
20230328;20;622,63
20230328;21;636,69
20230328;22;584,27
20230328;23;577,99
20230328;24;528,05
20230329;1;540,45
20230329;2;525,99
20230329;3;518,38
20230329;4;516,42
20230329;5;526,41
20230329;6;556,29
20230329;7;605,58
20230329;8;663,08
20230329;9;651,56
20230329;10;606,83
20230329;11;574,98
20230329;12;528,47
20230329;13;508,40
20230329;14;491,25
20230329;15;489,62
20230329;16;508,43
20230329;17;545,66
20230329;18;613,17
20230329;19;705,99
20230329;20;751,01
20230329;21;743,88
20230329;22;628,69
20230329;23;589,06
20230329;24;528,68
20230330;1;522,93
20230330;2;518,86
20230330;3;520,29
20230330;4;520,33
20230330;5;523,97
20230330;6;522,79
20230330;7;581,64
20230330;8;611,16
20230330;9;603,19
20230330;10;571,64
20230330;11;570,56
20230330;12;605,80
20230330;13;605,24
20230330;14;587,28
20230330;15;520,98
20230330;16;520,30
20230330;17;525,75
20230330;18;578,72
20230330;19;602,02
20230330;20;619,29
20230330;21;629,24
20230330;22;557,47
20230330;23;552,07
20230330;24;522,61
20230331;1;493,86
20230331;2;491,21
20230331;3;489,80
20230331;4;491,75
20230331;5;508,19
20230331;6;579,21
20230331;7;590,98
20230331;8;622,55
20230331;9;632,65
20230331;10;596,16
20230331;11;583,27
20230331;12;581,37
20230331;13;581,48
20230331;14;585,30
20230331;15;587,12
20230331;16;595,52
20230331;17;627,00
20230331;18;639,41
20230331;19;707,14
20230331;20;745,90
20230331;21;741,92
20230331;22;614,32
20230331;23;621,50
20230331;24;585,51
