Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-09-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 07:00;Ca³a doba;0,009;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 08:00;Ca³a doba;0,170;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 09:00;Ca³a doba;0,517;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 10:00;Ca³a doba;1,366;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 11:00;Ca³a doba;1,690;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 12:00;Ca³a doba;1,051;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 13:00;Ca³a doba;1,969;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 14:00;Ca³a doba;2,156;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 15:00;Ca³a doba;1,717;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 16:00;Ca³a doba;1,647;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 17:00;Ca³a doba;1,055;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 18:00;Ca³a doba;0,111;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 19:00;Ca³a doba;0,003;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-01 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 07:00;Ca³a doba;0,010;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 08:00;Ca³a doba;0,124;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 09:00;Ca³a doba;0,514;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 10:00;Ca³a doba;1,397;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 11:00;Ca³a doba;1,770;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 12:00;Ca³a doba;1,387;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 13:00;Ca³a doba;1,076;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 14:00;Ca³a doba;1,272;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 15:00;Ca³a doba;1,792;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 16:00;Ca³a doba;1,414;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 17:00;Ca³a doba;0,361;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 18:00;Ca³a doba;0,222;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 19:00;Ca³a doba;0,090;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 20:00;Ca³a doba;0,001;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-02 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 07:00;Ca³a doba;0,011;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 08:00;Ca³a doba;0,147;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 09:00;Ca³a doba;0,623;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 10:00;Ca³a doba;1,170;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 11:00;Ca³a doba;1,683;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 12:00;Ca³a doba;1,344;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 13:00;Ca³a doba;1,864;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 14:00;Ca³a doba;1,259;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 15:00;Ca³a doba;1,235;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 16:00;Ca³a doba;0,640;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 17:00;Ca³a doba;0,418;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 18:00;Ca³a doba;0,285;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 19:00;Ca³a doba;0,029;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-03 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 07:00;Ca³a doba;0,011;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 08:00;Ca³a doba;0,198;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 09:00;Ca³a doba;0,493;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 10:00;Ca³a doba;1,327;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 11:00;Ca³a doba;1,337;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 12:00;Ca³a doba;1,655;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 13:00;Ca³a doba;2,042;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 14:00;Ca³a doba;2,435;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 15:00;Ca³a doba;2,168;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 16:00;Ca³a doba;1,429;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 17:00;Ca³a doba;0,642;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 18:00;Ca³a doba;0,162;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 19:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-04 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 07:00;Ca³a doba;0,008;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 08:00;Ca³a doba;0,143;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 09:00;Ca³a doba;0,390;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 10:00;Ca³a doba;1,295;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 11:00;Ca³a doba;1,782;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 12:00;Ca³a doba;2,140;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 13:00;Ca³a doba;1,955;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 14:00;Ca³a doba;2,029;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 15:00;Ca³a doba;1,536;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 16:00;Ca³a doba;1,434;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 17:00;Ca³a doba;0,944;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 18:00;Ca³a doba;0,226;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 19:00;Ca³a doba;0,004;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-05 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 07:00;Ca³a doba;0,001;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 08:00;Ca³a doba;0,146;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 09:00;Ca³a doba;0,193;100,00
xxx;PPE:xxx;energia czynna oddana;2022-09-06 10:00;Ca³a doba;0,414;100,00
