Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-06-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 06:00;Ca³a doba;0,013;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 07:00;Ca³a doba;0,069;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 08:00;Ca³a doba;0,300;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 09:00;Ca³a doba;0,669;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 10:00;Ca³a doba;1,422;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 11:00;Ca³a doba;2,018;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 12:00;Ca³a doba;2,355;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 13:00;Ca³a doba;2,485;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 14:00;Ca³a doba;2,452;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 15:00;Ca³a doba;1,475;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 16:00;Ca³a doba;0,266;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 17:00;Ca³a doba;1,167;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 18:00;Ca³a doba;0,575;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 19:00;Ca³a doba;0,178;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 20:00;Ca³a doba;0,003;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 21:00;Ca³a doba;0,002;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-01 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-02 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-02 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-02 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-02 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-02 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-02 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-02 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-06-02 07:00;Ca³a doba;0,033;100,00
