Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-05-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 07:00;Ca³a doba;0,082;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 08:00;Ca³a doba;0,321;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 09:00;Ca³a doba;0,746;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 10:00;Ca³a doba;1,181;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 11:00;Ca³a doba;1,811;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 12:00;Ca³a doba;2,287;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 13:00;Ca³a doba;2,514;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 14:00;Ca³a doba;2,545;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 15:00;Ca³a doba;2,292;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 16:00;Ca³a doba;2,022;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 17:00;Ca³a doba;1,285;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 18:00;Ca³a doba;0,515;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 19:00;Ca³a doba;0,198;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 20:00;Ca³a doba;0,026;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-01 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 07:00;Ca³a doba;0,101;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 08:00;Ca³a doba;0,319;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 09:00;Ca³a doba;0,800;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 10:00;Ca³a doba;1,337;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 11:00;Ca³a doba;1,347;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 12:00;Ca³a doba;2,157;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 13:00;Ca³a doba;2,384;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 14:00;Ca³a doba;2,292;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 15:00;Ca³a doba;1,998;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 16:00;Ca³a doba;1,390;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 17:00;Ca³a doba;0,954;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 18:00;Ca³a doba;0,356;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 19:00;Ca³a doba;0,165;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 20:00;Ca³a doba;0,039;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-05-02 22:00;Ca³a doba;0,000;100,00
