Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-07-03 18:00;Ca³a doba;0,562;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-03 19:00;Ca³a doba;0,008;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-03 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-03 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-03 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-03 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 06:00;Ca³a doba;0,014;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 07:00;Ca³a doba;0,062;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 08:00;Ca³a doba;0,289;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 09:00;Ca³a doba;0,711;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 10:00;Ca³a doba;1,038;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 11:00;Ca³a doba;1,137;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 12:00;Ca³a doba;1,211;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 13:00;Ca³a doba;2,070;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 14:00;Ca³a doba;1,983;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 15:00;Ca³a doba;1,539;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 16:00;Ca³a doba;1,063;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 17:00;Ca³a doba;1,083;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 18:00;Ca³a doba;0,534;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 19:00;Ca³a doba;0,238;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 20:00;Ca³a doba;0,057;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 21:00;Ca³a doba;0,001;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-04 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 08:00;Ca³a doba;0,028;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 09:00;Ca³a doba;0,082;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 10:00;Ca³a doba;0,124;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 11:00;Ca³a doba;0,144;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 12:00;Ca³a doba;0,475;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 13:00;Ca³a doba;0,592;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 14:00;Ca³a doba;1,126;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 15:00;Ca³a doba;1,577;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 16:00;Ca³a doba;1,335;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 17:00;Ca³a doba;0,956;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 18:00;Ca³a doba;0,462;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 19:00;Ca³a doba;0,231;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 20:00;Ca³a doba;0,014;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-05 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 06:00;Ca³a doba;0,003;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 07:00;Ca³a doba;0,003;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 08:00;Ca³a doba;0,069;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 09:00;Ca³a doba;0,383;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 10:00;Ca³a doba;1,416;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 11:00;Ca³a doba;1,709;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 12:00;Ca³a doba;1,819;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 13:00;Ca³a doba;0,886;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 14:00;Ca³a doba;1,436;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 15:00;Ca³a doba;1,920;100,00
xxx;PPE:xxx;energia czynna oddana;2022-07-06 16:00;Ca³a doba;1,456;100,00
