Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-10-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 08:00;Ca³a doba;0,006;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 09:00;Ca³a doba;0,163;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 10:00;Ca³a doba;0,624;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 11:00;Ca³a doba;1,739;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 12:00;Ca³a doba;1,093;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 13:00;Ca³a doba;0,197;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 14:00;Ca³a doba;0,088;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 15:00;Ca³a doba;0,424;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 16:00;Ca³a doba;0,272;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 17:00;Ca³a doba;0,005;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 18:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 19:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-10-01 22:00;Ca³a doba;0,000;100,00
