Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2023-04-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 08:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 09:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 10:00;Ca³a doba;0,016;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 11:00;Ca³a doba;0,091;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 12:00;Ca³a doba;0,051;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 13:00;Ca³a doba;0,158;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 14:00;Ca³a doba;0,194;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 15:00;Ca³a doba;0,735;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 16:00;Ca³a doba;0,299;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 17:00;Ca³a doba;0,019;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 18:00;Ca³a doba;0,002;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 19:00;Ca³a doba;0,002;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-01 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 08:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 09:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 10:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 11:00;Ca³a doba;0,060;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 12:00;Ca³a doba;0,026;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 13:00;Ca³a doba;0,085;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 14:00;Ca³a doba;0,124;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 15:00;Ca³a doba;0,061;100,00
xxx;PPE:xxx;energia czynna oddana;2023-04-02 16:00;Ca³a doba;0,033;100,00
