Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2023-03-01 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 08:00;Ca³a doba;0,255;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 09:00;Ca³a doba;0,974;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 10:00;Ca³a doba;1,624;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 11:00;Ca³a doba;2,077;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 12:00;Ca³a doba;2,327;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 13:00;Ca³a doba;2,201;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 14:00;Ca³a doba;1,777;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 15:00;Ca³a doba;1,584;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 16:00;Ca³a doba;0,674;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 17:00;Ca³a doba;0,147;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 18:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 19:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-01 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 08:00;Ca³a doba;0,257;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 09:00;Ca³a doba;0,946;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 10:00;Ca³a doba;1,563;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 11:00;Ca³a doba;2,033;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 12:00;Ca³a doba;2,307;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 13:00;Ca³a doba;2,382;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 14:00;Ca³a doba;2,190;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 15:00;Ca³a doba;1,636;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 16:00;Ca³a doba;0,642;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 17:00;Ca³a doba;0,067;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 18:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 19:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-02 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 08:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 09:00;Ca³a doba;0,033;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 10:00;Ca³a doba;0,084;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 11:00;Ca³a doba;0,136;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 12:00;Ca³a doba;0,226;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 13:00;Ca³a doba;0,256;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 14:00;Ca³a doba;0,219;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 15:00;Ca³a doba;0,181;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 16:00;Ca³a doba;0,123;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 17:00;Ca³a doba;0,020;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 18:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 19:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-03 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 08:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 09:00;Ca³a doba;0,005;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 10:00;Ca³a doba;0,042;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 11:00;Ca³a doba;0,015;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 12:00;Ca³a doba;0,143;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 13:00;Ca³a doba;0,293;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 14:00;Ca³a doba;0,323;100,00
xxx;PPE:xxx;energia czynna oddana;2023-03-04 15:00;Ca³a doba;0,125;100,00
