Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2023-02-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 08:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 09:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 10:00;Ca³a doba;0,083;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 11:00;Ca³a doba;0,235;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 12:00;Ca³a doba;0,185;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 13:00;Ca³a doba;0,050;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 14:00;Ca³a doba;0,119;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 15:00;Ca³a doba;0,152;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 16:00;Ca³a doba;0,136;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 17:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 18:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 19:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-01 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 06:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 07:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 08:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 09:00;Ca³a doba;0,002;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 10:00;Ca³a doba;0,367;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 11:00;Ca³a doba;0,495;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 12:00;Ca³a doba;1,596;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 13:00;Ca³a doba;1,718;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 14:00;Ca³a doba;0,190;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 15:00;Ca³a doba;0,340;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 16:00;Ca³a doba;0,126;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 17:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 18:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 19:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 20:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2023-02-02 21:00;Ca³a doba;0,000;100,00
