Nr platnika;Nr punktu poboru energii;Rodzaj energii;Data i godzina;Strefa;Wartosc[kWh/kvar];Kompletno¶æ[%]
xxx;PPE:xxx;energia czynna oddana;2022-08-01 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 06:00;Ca³a doba;0,006;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 07:00;Ca³a doba;0,014;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 08:00;Ca³a doba;0,162;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 09:00;Ca³a doba;0,443;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 10:00;Ca³a doba;0,766;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 11:00;Ca³a doba;0,616;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 12:00;Ca³a doba;1,892;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 13:00;Ca³a doba;1,535;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 14:00;Ca³a doba;1,053;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 15:00;Ca³a doba;1,063;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 16:00;Ca³a doba;1,647;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 17:00;Ca³a doba;0,985;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 18:00;Ca³a doba;0,528;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 19:00;Ca³a doba;0,140;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 20:00;Ca³a doba;0,040;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 21:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 22:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-01 23:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 00:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 01:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 02:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 03:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 04:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 05:00;Ca³a doba;0,000;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 06:00;Ca³a doba;0,001;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 07:00;Ca³a doba;0,056;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 08:00;Ca³a doba;0,240;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 09:00;Ca³a doba;0,569;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 10:00;Ca³a doba;1,367;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 11:00;Ca³a doba;1,816;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 12:00;Ca³a doba;2,061;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 13:00;Ca³a doba;1,437;100,00
xxx;PPE:xxx;energia czynna oddana;2022-08-02 14:00;Ca³a doba;2,057;100,00
